orgnr_frtk,yrkeskode,antall_stillinger
997765540,5120,3
914852439,3112,3
914852439,3313,1
914852439,2142,1
914852439,7115,3
912684431,2264,3
895445142,3322,1
980679551,7126,5
991872345,7213,1
968823019,8121,1
979498063,1349,1
979498063,1211,3
979498063,1321,1
979498063,1221,4
883391322,7512,1
883391322,5246,1
953141965,4110,1
959617929,7233,1
993393223,4110,1
981649230,7233,6
981649230,2621,1
981649230,3511,1
981649230,3114,10
981649230,5120,1
981649230,4110,1
981649230,4321,1
981649230,7223,11
981649230,8211,3
981649230,7212,2
981649230,7222,3
912235831,3117,1
912235831,3115,2
998546559,9312,5
998546559,1324,1
998161754,2519,1
995420309,5321,1
995420309,4224,4
995420309,4110,2
995420309,9112,6
995420309,9111,2
877295192,7549,1
877295192,5223,2
989145150,2264,1
910030604,5223,1
910031031,7321,2
910031031,2642,15
910031031,4110,1
915186955,3434,1
990702861,8322,1
990702861,8332,3
918606777,9412,1
918606777,5120,1
993853712,1219,1
993853712,3311,2
993853712,2411,1
993853712,1420,1
981512847,4110,3
981512847,8171,1
981512847,2512,1
981512847,2411,1
981512847,1221,1
979521669,7132,2
996559599,8342,165
996559599,3123,4
996559599,5132,12
996559599,7114,19
996559599,7231,3
996559599,8331,2
996559599,5223,1
996559599,7411,5
996559599,6113,4
996559599,9312,35
996559599,3117,2
996559599,5120,10
996559599,4110,3
996559599,7213,2
996559599,8343,2
996559599,7127,1
996559599,4321,2
996559599,8332,81
996559599,1342,1
996559599,7131,3
996559599,7112,2
996559599,7132,1
996559599,9112,1
996559599,5151,1
996559599,2411,2
996559599,7126,61
996559599,5131,17
996559599,2142,3
996559599,3434,3
996559599,3118,8
996559599,7422,2
996559599,8344,2
996559599,7115,48
996559599,5414,2
950600713,7126,2
879423392,2161,2
915684378,2164,1
915684378,2161,2
980383660,7115,3
986739874,7233,1
986739874,8342,2
986739874,7114,2
986739874,8332,1
986739874,4322,1
986739874,7223,1
986739874,8114,4
986739874,9112,2
986739874,1221,1
986739874,2433,1
986739874,3322,1
999044530,9122,1
910045717,7231,5
913175255,5120,7
913175255,5131,2
996459772,7233,4
996459772,7412,2
996459772,5223,1
996459772,6221,2
996459772,4222,1
996459772,7126,2
996459772,7541,4
986342478,7233,2
986342478,7412,1
986342478,4224,1
986342478,3323,3
986342478,8343,4
986342478,4321,1
986342478,9333,2
986342478,1323,1
986342478,1324,4
986342478,3115,5
986342478,3412,4
986342478,2411,1
986342478,7126,6
986342478,3151,3
986342478,7212,4
986342478,7115,3
986342478,0,2
966907738,5222,1
966907738,7126,2
966907738,1420,1
986312102,7119,18
984682107,8332,4
976114469,4311,3
897579812,5163,1
959980454,7233,2
959980454,7223,2
959980454,2433,1
959980454,3322,2
990238316,2142,1
915868975,3119,1
979476205,7411,3
912218856,7112,2
987701455,1349,1
963753144,5223,9
963753144,4110,1
963753144,4321,16
963753144,8332,14
963753144,3322,3
957129188,7231,2
957129188,5223,2
957129188,4311,1
957129188,4226,2
990956871,3331,1
933563154,5223,4
933563154,8332,3
870562802,8341,1
870562802,6210,1
937903502,1349,1
937903502,1211,1
937903502,3312,6
820034112,5223,1
912512851,7115,2
956007445,9622,1
956007445,7549,1
991589767,8322,1
991589767,8160,2
991589767,9112,1
912696553,1349,1
912696553,1342,2
912696553,3115,2
912696553,8160,1
912696553,4311,1
912696553,2431,1
912489507,5223,2
929273761,9312,3
868913282,5141,4
889724412,2412,2
889724412,1324,1
889724412,4311,2
889724412,9112,4
889724412,2411,2
